State/UTs,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,629054,311893,317161,399001
Andhra Pradesh,84147957,40624263,43523694,91702478
Arunachal Pradesh,1596166,856732,739434,1711947
Assam,42998698,22535419,20463279,35998752
Bihar,119963226,62590002,57373224,128500364
Chandigarh,2001114,1088086,913028,1158040
Chhattisgarh,36927545,18855121,18072424,32199722
Dadra and Nagar Haveli and Daman and Diu,1319914,729023,590891,773997
Delhi,30710281,16555043,14155238,19301096
Goa,2572559,1353009,1219550,1521992
Gujarat,98534412,49269034,49265378,70400153
Haryana,40581317,21938012,18643305,28900667
Himachal Pradesh,11770370,6028184,5742186,7503010
Jammu and Kashmir,20272520,9936338,10336182,14999397
Jharkhand,36992685,21243308,15749377,40100376
Karnataka,100209012,49971474,50237538,69599762
Kerala,50729256,26999013,23730243,34698876
Ladakh,404656,219238,185418,290492
Lakshadweep,112378,56831,55547,66001
Madhya Pradesh,107931053,54060775,53870278,85002417
Maharashtra,155773246,84570317,71202929,124904071
Manipur,2666749,1457120,1209629,3436948
Meghalaya,2348527,1329229,1019298,3772103
Mizoram,1440084,783477,656607,1308967
Nagaland,1515042,835771,679271,2073074
Odisha,60803739,31331147,29472592,47099270
Puducherry,1620765,903986,716779,1646050
Punjab,41717794,22309609,19408185,30501026
Rajasthan,97164120,51029686,46134434,79502477
Sikkim,1045753,539208,506545,658019
Tamil Nadu,107856629,56110543,51746086,83697770
Telangana,58332610,29547155,28785455,38157311
Tripura,4962881,2653391,2309490,4184959
Uttar Pradesh,299773777,153669397,146104380,231502578
Uttarakhand,16068172,8164652,7903520,11700099
West Bengal,128418265,67232447,61185818,100896618
